Id x y vx vy fx fy

1 42.7147 24.1412 0.00652635 0.0157071 5.82419e-07 5.37609e-06
2 11.8481 69.42 0.00538703 0.015006 1.1806e-06 7.53243e-07
3 94.1513 62.2404 0.0223818 0.00032067 -3.05011e-05 2.20353e-05
4 13.8118 13.4999 0.0175818 0.00443849 1.21145e-06 2.67238e-06
5 90.5065 61.6289 0.00891572 -4.10405e-05 -2.26543e-05 1.81936e-05
6 16.3796 83.3003 0.0105561 0.0067545 1.24967e-06 3.92172e-07
7 97.0427 54.8292 0.000171218 0.0174642 -2.94774e-05 2.46505e-05
8 73.7768 12.8004 -0.0107381 0.00819608 -7.31753e-06 2.52642e-05
9 23.613 24.1782 -0.00275788 0.0029859 1.11261e-06 2.91095e-06
10 15.0967 2.68181 0.00552864 0.0115973 1.25372e-06 3.25217e-06
11 40.867 31.399 -0.00584808 0.0157462 6.31288e-07 4.19591e-06
12 37.2103 38.4627 0.00116477 -0.00781254 7.1907e-07 3.05304e-06
13 40.5481 46.3025 -0.000404298 0.0185481 5.70119e-07 2.7917e-06
14 84 92.99 0.007524 0.0082225 -2.09658e-05 5.8917e-07
15 32.3274 18.6016 -0.000105247 -0.00342847 1.02157e-06 4.28784e-06
16 69.0065 59.1142 -0.00186348 0.0243337 -3.6779e-06 6.83795e-06
17 48.1064 69.5316 -0.00163968 -0.00992062 2.13846e-07 2.40541e-06
18 7.41963 91.5466 0.0171116 -0.00327195 1.23411e-06 6.88572e-08
19 7.18195 60.4936 0.0258199 -0.00517593 1.10896e-06 8.6063e-07
20 35.7072 70.7032 0.00031219 0.00175975 9.36123e-07 1.49293e-06
21 83.1644 73.3344 0.00308303 0.0148841 -1.62478e-05 1.01787e-05
22 50.4206 70.6976 -0.00572091 0.00249892 -1.56848e-08 2.52413e-06
23 9.63028 81.476 -0.00309864 0.00332449 1.22715e-06 3.76235e-07
24 6.24757 34.1819 0.00299031 -0.00302342 1.05639e-06 1.43374e-06
25 36.1225 60.9063 -0.00328603 0.00281347 8.51628e-07 1.9875e-06
26 84.0898 1.38377 -0.00560324 -0.0184421 -2.06192e-05 5.64386e-05
27 74.5593 96.5286 0.0163363 0.0155612 -8.84502e-06 -9.43717e-07
28 2.37944 41.4274 -0.0118627 0.00195131 9.87231e-07 1.08233e-06
29 24.9728 48.3975 0.0138951 -0.0110457 9.61054e-07 1.72968e-06
30 31.8072 96.9518 0.0100464 -0.00771369 1.12368e-06 -1.8338e-07
31 0.659622 63.756 0.00135324 -0.0130571 1.09709e-06 6.67362e-07
32 69.6668 62.0612 0.0106647 0.0138856 -4.1213e-06 6.77505e-06
33 81.6115 80.4343 -0.0184501 0.00458224 -1.56792e-05 6.75668e-06
34 9.30524 85.047 -0.008973 0.00794893 1.23507e-06 2.6801e-07
35 56.6825 42.2861 0.00168554 -0.00464583 -6.24247e-07 5.03301e-06
36 72.5468 87.5462 0.00185161 0.00661933 -7.22301e-06 2.07296e-06
37 59.8638 74.0753 0.0130429 -0.0150538 -1.5669e-06 3.2461e-06
38 72.2413 43.8871 -0.0049631 0.00408152 -3.57684e-06 8.1503e-06
39 9.43266 1.40798 0.00395198 0.00602505 1.23856e-06 2.80592e-06
40 7.90695 31.2191 0.0114829 -0.0013849 1.08382e-06 1.60438e-06
41 80.0773 36.2776 -0.0125048 0.000177845 -7.91777e-06 1.53195e-05
42 41.6767 86.8942 0.00185118 -0.00652104 7.35688e-07 6.02579e-07
43 80.2049 67.602 -0.00418933 0.0154478 -1.14378e-05 1.00647e-05
44 59.697 78.0287 -0.0082197 -0.000329483 -1.58041e-06 2.66884e-06
45 88.2924 54.9169 -0.00194936 -0.00100475 -1.58517e-05 1.62705e-05
46 65.5391 92.139 -0.00650118 0.0100998 -3.54925e-06 4.18278e-07
47 93.8829 7.26652 -0.0105329 0.00480745 -4.64098e-05 9.22424e-05
48 34.8166 6.32496 -0.00529283 -0.00178492 1.02027e-06 5.78215e-06
49 91.268 14.9015 -7.22165e-05 0.0105651 -3.19878e-05 6.16757e-05
50 2.60152 12.6833 -0.01129 -0.00214762 1.16509e-06 1.98573e-06
51 66.5813 68.6709 -0.013943 0.0072253 -3.34926e-06 5.1901e-06
52 5.32183 12.9898 -0.00750543 0.00141219 1.18073e-06 2.12611e-06
53 7.79663 8.11386 0.00630027 -0.000320759 1.21282e-06 2.45032e-06
54 60.3622 55.1235 0.00592403 0.000429671 -1.31574e-06 5.06336e-06
55 99.5303 77.4331 -0.0171942 0.00418764 -7.28921e-05 2.44255e-05
56 47.5055 69.135 0.000790252 0.00398424 2.66139e-07 2.3825e-06
57 97.6964 3.30958 0.00899834 0.00866601 -6.99362e-05 0.00013366
58 83.1813 17.3825 -0.00525556 0.00851437 -1.54748e-05 3.60028e-05
59 97.7733 18.7423 8.15016e-05 -0.00595085 -5.01323e-05 7.93674e-05
60 78.3687 87.281 0.00180236 -0.00543311 -1.23955e-05 2.9372e-06
61 93.4359 19.1273 0.00682704 0.00895142 -3.46645e-05 6.00853e-05
62 45.3065 90.8008 -0.000901118 -0.0110038 4.90317e-07 3.09499e-07
63 50.655 48.3167 -0.000933683 0.0202207 -3.15388e-08 3.79817e-06
64 85.7807 41.0492 -0.00136185 0.000432498 -1.04698e-05 1.55961e-05
65 4.12852 30.8859 -0.00164625 0.0051058 1.07238e-06 1.4652e-06
66 30.8436 89.8265 -0.000195932 -0.0179218 1.14338e-06 2.41902e-07
67 35.87 84.3887 0.0181122 0.00351532 9.95179e-07 6.59651e-07
68 68.1043 17.1704 0.00346987 -0.0141923 -4.02345e-06 1.73248e-05
69 85.4356 36.4149 -0.00259907 0.00126005 -1.16863e-05 1.91194e-05
70 20.4287 43.7928 -0.00647566 -0.00141468 9.56997e-07 1.60779e-06
71 42.9808 65.4851 -0.00672563 0.00356115 5.76604e-07 2.2488e-06
72 84.9103 71.868 0.00877199 0.0127682 -1.83448e-05 1.16898e-05
73 99.7335 89.1243 -0.00707204 0.000771376 -8.9317e-05 8.69274e-06
74 13.1381 5.63954 0.00416587 -0.00705451 1.24184e-06 2.95257e-06
75 66.7652 65.712 -0.00831089 0.00893733 -3.2768e-06 5.60916e-06
76 51.0263 99.0945 0.0119383 -0.0237138 -9.22754e-08 -6.34304e-07
77 20.7818 52.116 -0.00621368 0.0128104 1.03214e-06 1.46353e-06
78 53.5397 56.8985 -0.0123482 -0.00405758 -3.40165e-07 3.86062e-06
79 51.1401 45.2141 -0.00140184 0.0021841 -6.96297e-08 3.92701e-06
80 24.7089 13.3555 0.00843395 -0.00606066 1.17715e-06 3.71012e-06
81 28.837 3.66775 0.017314 0.0274773 1.16787e-06 4.91735e-06
82 63.9737 94.2155 -0.0160407 0.010301 -2.96294e-06 -6.00768e-08
83 84.679 5.39987 0.0144411 0.0101462 -2.09947e-05 5.40312e-05
84 6.92513 41.5748 0.00453579 -0.00734352 9.99067e-07 1.20676e-06
85 37.3892 65.5431 0.00103179 -0.00602002 8.42309e-07 1.8559e-06
86 26.3486 34.8779 -0.00884567 -0.00624303 9.89553e-07 2.44249e-06
87 47.7607 57.6779 -0.00921082 -0.0162353 2.15898e-07 3.11218e-06
88 93.4105 64.2718 -0.000858109 -0.0183601 -3.0586e-05 2.10357e-05
89 24.4713 26.312 0.00863683 -0.00601318 1.08742e-06 2.84975e-06
90 46.4715 68.5811 -0.00292628 -0.0046951 3.50175e-07 2.33381e-06
91 48.1602 30.9002 -0.00790101 -0.0244681 1.82548e-07 5.43833e-06
92 38.5994 9.16862 -0.012227 -0.0140403 8.68248e-07 6.30318e-06
93 79.0698 25.1103 0.001634 0.00107942 -9.46468e-06 2.26241e-05
94 53.0343 73.9655 0.0159342 -0.00934938 -3.40799e-07 2.46777e-06
95 8.10633 16.6427 -0.00505624 0.00586088 1.17782e-06 2.15887e-06
96 53.2975 58.4346 -0.00646432 -0.019055 -3.18732e-07 3.7454e-06
97 49.8507 92.5032 0.0139633 -0.0139322 5.01765e-08 1.69177e-07
98 13.099 25.2005 0.0030176 0.000202205 1.13854e-06 2.10507e-06
99 95.9303 16.1481 -0.0130524 -0.00122512 -4.6114e-05 7.85731e-05
100 50.2761 93.9377 -0.0104966 -0.00602553 0 0
