Id x y vx vy fx fy

1 42.6821 24.0628 0.00652342 0.0156802 5.87866e-07 5.37432e-06
2 11.8211 69.345 0.00538113 0.0150022 1.1798e-06 7.54399e-07
3 94.039 62.239 0.0225332 0.000210979 -3.00886e-05 2.18409e-05
4 13.7239 13.4777 0.0175757 0.00442515 1.21148e-06 2.66393e-06
5 90.4616 61.6293 0.00902852 -0.000131784 -2.24673e-05 1.81038e-05
6 16.3269 83.2665 0.0105498 0.00675254 1.24945e-06 3.93238e-07
7 97.0415 54.7421 0.000318019 0.0173412 -2.92435e-05 2.45564e-05
8 73.8304 12.7597 -0.0107015 0.00806965 -7.32457e-06 2.53093e-05
9 23.6268 24.1633 -0.00276344 0.00297135 1.11329e-06 2.91039e-06
10 15.0691 2.62387 0.00552237 0.0115811 1.25382e-06 3.24818e-06
11 40.8962 31.3203 -0.00585124 0.0157252 6.33136e-07 4.20513e-06
12 37.2045 38.5018 0.00116117 -0.00782778 7.20912e-07 3.04678e-06
13 40.5501 46.2098 -0.000407151 0.0185341 5.71254e-07 2.79001e-06
14 83.9621 92.9489 0.0076284 0.00821945 -2.07946e-05 6.29972e-07
15 32.328 18.6188 -0.000110359 -0.00344989 1.02289e-06 4.28172e-06
16 69.0158 58.9926 -0.00184515 0.0242995 -3.65294e-06 6.83689e-06
17 48.1146 69.5812 -0.00164076 -0.00993264 2.17891e-07 2.39996e-06
18 7.33409 91.5629 0.0171055 -0.0032723 1.23331e-06 6.89863e-08
19 7.05286 60.5195 0.0258144 -0.00518022 1.10826e-06 8.56587e-07
20 35.7057 70.6944 0.000307506 0.00175228 9.37647e-07 1.49233e-06
21 83.1488 73.2601 0.00316396 0.0148332 -1.61259e-05 1.01746e-05
22 50.4492 70.6851 -0.00572084 0.0024863 -1.30746e-08 2.52551e-06
23 9.64579 81.4594 -0.00310478 0.00332261 1.22684e-06 3.77208e-07
24 6.23263 34.197 0.00298503 -0.00303058 1.05628e-06 1.43176e-06
25 36.1389 60.8923 -0.00329029 0.00280353 8.5245e-07 1.98702e-06
26 84.1175 1.47668 -0.00550028 -0.0187239 -2.05651e-05 5.62933e-05
27 74.4775 96.4508 0.0163802 0.0155658 -8.73573e-06 -8.98189e-07
28 2.43877 41.4176 -0.0118676 0.00194589 9.87566e-07 1.08367e-06
29 24.9033 48.4527 0.0138903 -0.0110544 9.62619e-07 1.72323e-06
30 31.757 96.9904 0.0100408 -0.00771277 1.12601e-06 -1.83256e-07
31 0.652869 63.8213 0.00134775 -0.0130604 1.09693e-06 6.65692e-07
32 69.6135 61.9919 0.0106852 0.0138517 -4.07336e-06 6.754e-06
33 81.7036 80.4115 -0.0183716 0.00454837 -1.57247e-05 6.79427e-06
34 9.35012 85.0073 -0.00897917 0.00794758 1.23488e-06 2.70025e-07
35 56.6741 42.3094 0.00168865 -0.00467098 -6.17115e-07 5.02394e-06
36 72.5374 87.5131 0.00188762 0.00660893 -7.17832e-06 2.0863e-06
37 59.7985 74.1506 0.0130507 -0.01507 -1.54064e-06 3.22402e-06
