Id x y vx vy fx fy

1 42.6495 23.9844 0.00652047 0.0156533 5.93286e-07 5.37249e-06
2 11.7942 69.27 0.00537523 0.0149984 1.17899e-06 7.55543e-07
3 93.926 62.2383 0.0226826 0.000102258 -2.96807e-05 2.16478e-05
4 13.6361 13.4556 0.0175696 0.00441185 1.2115e-06 2.65552e-06
5 90.4162 61.6302 0.00914039 -0.000222078 -2.22811e-05 1.8014e-05
6 16.2741 83.2328 0.0105436 0.00675057 1.24922e-06 3.94294e-07
7 97.0395 54.6557 0.000463655 0.0172186 -2.90108e-05 2.44619e-05
8 73.8838 12.7197 -0.0106648 0.00794299 -7.33141e-06 2.53539e-05
9 23.6407 24.1484 -0.00276901 0.0029568 1.11397e-06 2.90984e-06
10 15.0415 2.566 0.0055161 0.0115648 1.25392e-06 3.24418e-06
11 40.9255 31.2418 -0.00585442 0.0157041 6.34982e-07 4.21433e-06
12 37.1987 38.5409 0.00115756 -0.007843 7.22744e-07 3.04052e-06
13 40.5522 46.1171 -0.00041001 0.0185202 5.72377e-07 2.78829e-06
14 83.9237 92.9078 0.00773195 0.0082162 -2.06239e-05 6.70279e-07
15 32.3285 18.6361 -0.000115476 -0.00347129 1.0242e-06 4.27561e-06
16 69.025 58.8712 -0.00182695 0.0242653 -3.62809e-06 6.83565e-06
17 48.1228 69.6309 -0.00164186 -0.00994462 2.21922e-07 2.39452e-06
18 7.24857 91.5793 0.0170993 -0.00327264 1.23249e-06 6.91136e-08
19 6.9238 60.5454 0.0258088 -0.00518449 1.10755e-06 8.52567e-07
20 35.7042 70.6857 0.000302814 0.00174482 9.3916e-07 1.49172e-06
21 83.1328 73.186 0.00324429 0.0147823 -1.60045e-05 1.017e-05
22 50.4778 70.6727 -0.00572078 0.00247366 -1.04709e-08 2.52688e-06
23 9.66133 81.4428 -0.00311091 0.00332072 1.22653e-06 3.78179e-07
24 6.21771 34.2122 0.00297975 -0.00303773 1.05618e-06 1.42979e-06
25 36.1554 60.8783 -0.00329456 0.0027936 8.53267e-07 1.98653e-06
26 84.1448 1.57101 -0.00539759 -0.019005 -2.05099e-05 5.61452e-05
27 74.3955 96.373 0.0164236 0.0155702 -8.62737e-06 -8.53228e-07
28 2.49812 41.4079 -0.0118725 0.00194047 9.879e-07 1.08501e-06
29 24.8339 48.508 0.0138855 -0.011063 9.64166e-07 1.71681e-06
30 31.7068 97.0289 0.0100352 -0.00771186 1.12832e-06 -1.83132e-07
31 0.646144 63.8866 0.00134227 -0.0130637 1.09677e-06 6.64026e-07
32 69.56 61.9227 0.0107054 0.013818 -4.02586e-06 6.73297e-06
33 81.7953 80.3888 -0.0182928 0.0045143 -1.57697e-05 6.83172e-06
34 9.39503 84.9675 -0.00898535 0.00794623 1.23469e-06 2.72038e-07
35 56.6656 42.3328 0.00169171 -0.00469607 -6.10006e-07 5.01487e-06
36 72.5279 87.4801 0.0019234 0.00659847 -7.13374e-06 2.09949e-06
37 59.7333 74.226 0.0130583 -0.0150861 -1.51458e-06 3.20207e-06
38 72.2908 43.8467 -0.00492737 0.00399992 -3.56894e-06 8.16932e-06
39 9.3932 1.34787 0.00393959 0.00599703 1.23809e-06 2.79861e-06
40 7.79218 31.233 0.0114721 -0.00140091 1.08352e-06 1.59682e-06
41 80.2019 36.2766 -0.0124255 2.43851e-05 -7.94177e-06 1.53722e-05
42 41.6583 86.9595 0.00184379 -0.00652705 7.42888e-07 5.99441e-07
43 80.2463 67.448 -0.00407549 0.0153471 -1.13314e-05 1.00736e-05
44 59.7791 78.0321 -0.00820392 -0.0003562 -1.57436e-06 2.67461e-06
45 88.3111 54.9278 -0.00179145 -0.00116712 -1.57302e-05 1.6203e-05
46 65.604 92.038 -0.00646577 0.0100954 -3.53263e-06 4.54831e-07
47 93.9859 7.22306 -0.0100684 0.00388373 -4.64778e-05 9.24923e-05
48 34.8696 6.34309 -0.00530304 -0.00184271 1.02204e-06 5.77553e-06
