Id x y vx vy fx fy

1 42.8454 24.4564 0.00653777 0.0158147 5.60366e-07 5.38268e-06
2 11.956 69.7203 0.00541067 0.015021 1.18378e-06 7.48502e-07
3 94.5927 62.2512 0.0217549 0.000769243 -3.21971e-05 2.28253e-05
4 14.1637 13.5892 0.017606 0.00449228 1.21116e-06 2.70648e-06
5 90.6802 61.6317 0.00845508 0.000326426 -2.34116e-05 1.8553e-05
6 16.591 83.4355 0.0105811 0.0067623 1.25044e-06 3.87803e-07
7 97.0402 55.1834 -0.000427772 0.017961 -3.04246e-05 2.50228e-05
8 73.5606 12.9694 -0.0108841 0.00869952 -7.28745e-06 2.50773e-05
9 23.5581 24.2385 -0.00273566 0.00304414 1.10984e-06 2.91311e-06
10 15.2075 2.91441 0.00555371 0.0116625 1.25324e-06 3.26813e-06
11 40.7502 31.7148 -0.00583553 0.0158297 6.23874e-07 4.15885e-06
12 37.2338 38.307 0.00117908 -0.00775122 7.11598e-07 3.07822e-06
13 40.5401 46.674 -0.000392942 0.018604 5.65445e-07 2.79831e-06
14 84.1462 93.1546 0.00709782 0.00823262 -2.16533e-05 4.21009e-07
15 32.3255 18.5339 -8.48693e-05 -0.00334247 1.01622e-06 4.31237e-06
16 68.9685 59.6023 -0.00193805 0.0244705 -3.77896e-06 6.84028e-06
17 48.0736 69.3337 -0.00163557 -0.0098723 1.97542e-07 2.42727e-06
18 7.76211 91.4811 0.0171363 -0.00327058 1.23726e-06 6.83231e-08
19 7.69857 60.3902 0.0258421 -0.00515855 1.11163e-06 8.77047e-07
20 35.7137 70.7387 0.000330851 0.00178963 9.29929e-07 1.4953e-06
21 83.2228 73.6341 0.00275317 0.0150878 -1.67389e-05 1.01894e-05
22 50.3061 70.7481 -0.00572133 0.00254935 -2.61926e-08 2.51847e-06
23 9.56855 81.5426 -0.00307409 0.00333198 1.22837e-06 3.72314e-07
24 6.30758 34.1217 0.00301144 -0.00299466 1.05678e-06 1.44166e-06
25 36.0569 60.963 -0.00326904 0.00285324 8.48292e-07 1.98939e-06
