Id x y vx vy fx fy

1 42.7474 24.2199 0.00652925 0.015734 5.76941e-07 5.37781e-06
2 11.875 69.4951 0.00539294 0.0150097 1.18141e-06 7.52075e-07
3 94.263 62.2422 0.0222281 0.000431446 -3.09186e-05 2.22312e-05
4 13.8998 13.5221 0.0175878 0.00445189 1.2114e-06 2.68086e-06
5 90.5508 61.6289 0.00880186 5.02436e-05 -2.28425e-05 1.82835e-05
6 16.4325 83.3341 0.0105623 0.00675646 1.24987e-06 3.91094e-07
7 97.0432 54.9169 2.30949e-05 0.0175878 -2.97127e-05 2.47443e-05
8 73.723 12.8417 -0.0107747 0.00832242 -7.31029e-06 2.52183e-05
9 23.5992 24.1931 -0.00275231 0.00300047 1.11192e-06 2.91149e-06
10 15.1244 2.7399 0.00553491 0.0116136 1.25361e-06 3.25616e-06
11 40.8377 31.4779 -0.00584493 0.0157671 6.29436e-07 4.18666e-06
12 37.2162 38.4236 0.00116836 -0.00779724 7.17215e-07 3.05933e-06
13 40.5461 46.3953 -0.000401447 0.018562 5.68969e-07 2.79338e-06
14 84.0374 93.0312 0.00741864 0.00822535 -2.11374e-05 5.47831e-07
15 32.3269 18.5845 -0.000100138 -0.00340699 1.02024e-06 4.29397e-06
16 68.9972 59.2361 -0.00188195 0.0243679 -3.70301e-06 6.83882e-06
17 48.0982 69.482 -0.00163862 -0.00990857 2.09785e-07 2.41087e-06
18 7.50529 91.5302 0.0171178 -0.00327161 1.23491e-06 6.87262e-08
19 7.31119 60.4677 0.0258255 -0.00517161 1.10965e-06 8.64702e-07
20 35.7088 70.712 0.000316871 0.00176722 9.34589e-07 1.49353e-06
21 83.1796 73.409 0.0030014 0.014935 -1.63701e-05 1.01822e-05
22 50.3919 70.7101 -0.00572099 0.00251155 -1.83044e-08 2.52273e-06
23 9.61479 81.4926 -0.0030925 0.00332637 1.22746e-06 3.75258e-07
24 6.26255 34.1667 0.0029956 -0.00301624 1.05649e-06 1.43572e-06
25 36.106 60.9205 -0.00328177 0.00282342 8.508e-07 1.98798e-06
26 84.0615 1.29217 -0.00570657 -0.0181592 -2.06724e-05 5.65811e-05
27 74.641 96.6065 0.0162917 0.0155563 -8.95536e-06 -9.8986e-07
28 2.32008 41.4372 -0.0118577 0.00195672 9.86896e-07 1.08098e-06
29 25.0423 48.3422 0.0138999 -0.0110371 9.59469e-07 1.73615e-06
30 31.8575 96.9132 0.010052 -0.00771461 1.12132e-06 -1.83503e-07
31 0.666408 63.6906 0.00135873 -0.0130537 1.09725e-06 6.69037e-07
32 69.7202 62.1308 0.0106439 0.0139195 -4.16974e-06 6.79612e-06
33 81.519 80.4573 -0.0185284 0.00461597 -1.56333e-05 6.71892e-06
34 9.26035 85.0868 -0.00896682 0.00795027 1.23526e-06 2.65992e-07
35 56.6909 42.2629 0.0016824 -0.00462062 -6.31408e-07 5.04208e-06
36 72.5559 87.5794 0.00181535 0.00662967 -7.26784e-06 2.05946e-06
37 59.929 74 0.013035 -0.0150375 -1.59339e-06 3.26833e-06
38 72.2165 43.9076 -0.00498102 0.00412229 -3.58072e-06 8.14064e-06
39 9.45245 1.43817 0.00395818 0.00603911 1.23879e-06 2.80959e-06
40 7.96444 31.2121 0.0114883 -0.00137686 1.08397e-06 1.60817e-06
41 80.0146 36.2787 -0.0125444 0.000254452 -7.90549e-06 1.52927e-05
42 41.686 86.8616 0.00185485 -0.00651802 7.32054e-07 6.04156e-07
43 80.1838 67.6794 -0.00424671 0.0154981 -1.1491e-05 1.00596e-05
44 59.6559 78.0271 -0.00822762 -0.000316133 -1.58343e-06 2.66593e-06
45 88.2825 54.9121 -0.00202885 -0.000923236 -1.59124e-05 1.6304e-05
46 65.5066 92.1895 -0.00651896 0.0101018 -3.55752e-06 3.99917e-07
47 93.8296 7.29174 -0.0107651 0.00526877 -4.63658e-05 9.20976e-05
48 34.7902 6.31609 -0.00528772 -0.00175597 1.01938e-06 5.78545e-06
49 91.2672 14.9551 -0.000232524 0.0108738 -3.20705e-05 6.16916e-05
50 2.54502 12.6725 -0.0112842 -0.00213769 1.16499e-06 1.98492e-06
51 66.5114 68.7071 -0.0139597 0.00725125 -3.3461e-06 5.17709e-06
52 5.28428 12.9969 -0.00749952 0.00142283 1.18066e-06 2.12571e-06
