Id x y vx vy fx fy

1 42.8781 24.5356 0.00654056 0.0158416 5.54786e-07 5.3842e-06
2 11.9831 69.7954 0.00541659 0.0150247 1.18457e-06 7.47287e-07
3 94.7011 62.2554 0.0215928 0.000883871 -3.26328e-05 2.30259e-05
4 14.2518 13.6117 0.017612 0.00450583 1.21105e-06 2.71509e-06
5 90.7222 61.6336 0.00833755 0.000419416 -2.36032e-05 1.86429e-05
6 16.6439 83.4693 0.0105873 0.00676423 1.25061e-06 3.86684e-07
7 97.0376 55.2735 -0.000580493 0.0180863 -3.06643e-05 2.51147e-05
8 73.5061 13.0132 -0.0109206 0.00882478 -7.27945e-06 2.5029e-05
9 23.5444 24.2537 -0.00273011 0.00305871 1.10913e-06 2.91363e-06
10 15.2353 2.97277 0.00555997 0.0116789 1.2531e-06 3.27212e-06
11 40.721 31.794 -0.00583242 0.0158505 6.22015e-07 4.14954e-06
12 37.2397 38.2683 0.00118263 -0.00773582 7.09705e-07 3.08453e-06
13 40.5382 46.767 -0.000390118 0.018618 5.64243e-07 2.79992e-06
14 84.1815 93.1958 0.00698912 0.00823461 -2.18258e-05 3.77732e-07
15 32.3251 18.5172 -7.97916e-05 -0.00332089 1.01486e-06 4.31851e-06
16 68.9588 59.7247 -0.001957 0.0245047 -3.80453e-06 6.84038e-06
17 48.0655 69.2843 -0.00163459 -0.00986015 1.93434e-07 2.43275e-06
18 7.84781 91.4648 0.0171425 -0.00327024 1.23802e-06 6.8185e-08
19 7.82779 60.3644 0.0258477 -0.00515416 1.11226e-06 8.81213e-07
20 35.7153 70.7477 0.000335497 0.00179711 9.28355e-07 1.49588e-06
21 83.2363 73.7096 0.00266917 0.0151387 -1.68626e-05 1.01906e-05
22 50.2775 70.7608 -0.00572147 0.00256193 -2.88362e-08 2.51702e-06
23 9.5532 81.5592 -0.00306795 0.00333384 1.22868e-06 3.71327e-07
24 6.32265 34.1067 0.00301673 -0.00298745 1.05688e-06 1.44365e-06
