Id x y vx vy fx fy

1 42.7801 24.2986 0.00653212 0.0157609 5.71441e-07 5.37949e-06
2 11.902 69.5702 0.00539885 0.0150135 1.1822e-06 7.50895e-07
3 94.3737 62.2447 0.0220724 0.000543094 -3.13402e-05 2.24281e-05
4 13.9878 13.5444 0.0175939 0.00446531 1.21134e-06 2.68937e-06
5 90.5946 61.6294 0.00868718 0.000141886 -2.30314e-05 1.83734e-05
6 16.4853 83.3679 0.0105686 0.00675841 1.25007e-06 3.90007e-07
7 97.0429 55.0051 -0.000126059 0.0177118 -2.99489e-05 2.48376e-05
8 73.669 12.8837 -0.0108112 0.00844839 -7.30286e-06 2.51719e-05
9 23.5855 24.2082 -0.00274676 0.00301503 1.11123e-06 2.91204e-06
10 15.1521 2.79801 0.00554118 0.0116299 1.25349e-06 3.26016e-06
11 40.8085 31.5568 -0.00584179 0.0157881 6.27583e-07 4.17741e-06
12 37.222 38.3846 0.00117194 -0.00778193 7.15353e-07 3.06562e-06
13 40.5441 46.4882 -0.000398605 0.018576 5.67807e-07 2.79505e-06
14 84.0742 93.0723 0.00731252 0.00822798 -2.13091e-05 5.06038e-07
15 32.3264 18.5675 -9.50399e-05 -0.00338551 1.01891e-06 4.3001e-06
16 68.9877 59.358 -0.00190053 0.0244021 -3.72822e-06 6.8395e-06
17 48.09 69.4325 -0.00163758 -0.0098965 2.05715e-07 2.41633e-06
18 7.59089 91.5138 0.017124 -0.00327126 1.2357e-06 6.85936e-08
19 7.44033 60.4418 0.025831 -0.00516728 1.11032e-06 8.68794e-07
20 35.7104 70.7209 0.000321541 0.00177469 9.33045e-07 1.49412e-06
21 83.1944 73.4838 0.00291925 0.0149859 -1.64927e-05 1.01852e-05
22 50.3633 70.7227 -0.00572109 0.00252416 -2.0928e-08 2.52133e-06
23 9.59934 81.5093 -0.00308636 0.00332824 1.22776e-06 3.74279e-07
24 6.27754 34.1517 0.00300088 -0.00300905 1.05659e-06 1.4377e-06
25 36.0896 60.9346 -0.00327752 0.00283336 8.49969e-07 1.98845e-06
26 84.0327 1.20208 -0.00581006 -0.017876 -2.07244e-05 5.67204e-05
27 74.7223 96.6843 0.0162467 0.0155513 -9.06653e-06 -1.03653e-06
28 2.26081 41.447 -0.0118528 0.00196212 9.86561e-07 1.07964e-06
29 25.1118 48.2871 0.0139047 -0.0110284 9.57867e-07 1.74265e-06
30 31.9077 96.8746 0.0100577 -0.00771553 1.11893e-06 -1.83625e-07
31 0.673216 63.6254 0.00136421 -0.0130504 1.09741e-06 6.70714e-07
32 69.7733 62.2005 0.010623 0.0139536 -4.21857e-06 6.81717e-06
33 81.4262 80.4805 -0.0186065 0.00464947 -1.55869e-05 6.68107e-06
34 9.21553 85.1266 -0.00896064 0.00795159 1.23545e-06 2.63975e-07
35 56.6994 42.2399 0.00167923 -0.00459539 -6.38584e-07 5.05114e-06
36 72.5649 87.6125 0.0017789 0.00663993 -7.31273e-06 2.04582e-06
37 59.9942 73.9249 0.0130269 -0.0150211 -1.62006e-06 3.29066e-06
38 72.1915 43.9283 -0.00499895 0.00416302 -3.59304e-06 8.15015e-06
39 9.47226 1.46841 0.00396437 0.00605316 1.23901e-06 2.81325e-06
40 8.02189 31.2053 0.0114937 -0.00136881 1.08411e-06 1.61197e-06
41 79.9517 36.2802 -0.0125839 0.000330848 -7.89305e-06 1.52656e-05
42 41.6953 86.829 0.0018585 -0.00651499 7.28403e-07 6.05735e-07
43 80.1624 67.757 -0.0043043 0.0155484 -1.15442e-05 1.00542e-05
44 59.6147 78.0255 -0.00823554 -0.00030281 -1.58644e-06 2.66299e-06
45 88.2721 54.9077 -0.00210856 -0.000841632 -1.59731e-05 1.63373e-05
46 65.4739 92.2401 -0.00653677 0.0101038 -3.56574e-06 3.81531e-07
47 93.7752 7.31923 -0.0109968 0.00572886 -4.63151e-05 9.19398e-05
48 34.7637 6.30739 -0.00528263 -0.00172704 1.01849e-06 5.78874e-06
49 91.2656 15.0103 -0.000393076 0.0111823 -3.21498e-05 6.17007e-05
50 2.48862 12.6619 -0.0112783 -0.00212776 1.16489e-06 1.9841e-06
51 66.4416 68.7434 -0.0139765 0.0072771 -3.34292e-06 5.16403e-06
52 5.2468 13.0041 -0.00749362 0.00143346 1.18059e-06 2.12531e-06
53 7.85973 8.11078 0.0063124 -0.000296196 1.21348e-06 2.45978e-06
54 60.4214 55.1281 0.00591071 0.000480471 -1.34684e-06 5.0915e-06
55 99.3546 77.4762 -0.0179221 0.00443094 -7.25951e-05 2.42083e-05
56 47.5134 69.1749 0.000792867 0.00400809 2.56582e-07 2.38487e-06
57 97.7829 3.40299 0.00829291 0.0100103 -7.10732e-05 0.000135057
58 83.128 17.4695 -0.00541051 0.00887423 -1.54991e-05 3.59336e-05
59 97.7716 18.6868 -0.000422231 -0.00515426 -5.05589e-05 7.98639e-05
60 78.3861 87.2268 0.00167765 -0.00540364 -1.25343e-05 2.95451e-06
61 93.5025 19.2199 0.00647846 0.00955381 -3.50149e-05 6.03289e-05
62 45.2975 90.6907 -0.000896251 -0.0110007 4.82577e-07 3.15546e-07
63 50.6456 48.5192 -0.000934039 0.0202587 -3.97885e-08 3.80346e-06
64 85.7666 41.0543 -0.00146683 0.000588578 -1.05149e-05 1.5604e-05
65 4.1121 30.9371 -0.00163552 0.00512045 1.07199e-06 1.46489e-06
66 30.8417 89.6472 -0.000184504 -0.0179193 1.14109e-06 2.4973e-07
67 36.0513 84.4239 0.0181221 0.00352192 9.85432e-07 6.59769e-07
68 68.1388 17.0293 0.00342931 -0.0140183 -4.08476e-06 1.74706e-05
69 85.409 36.4285 -0.0027162 0.00145135 -1.17275e-05 1.91195e-05
70 20.364 43.7788 -0.00646609 -0.00139859 9.56284e-07 1.60728e-06
71 42.9135 65.5208 -0.00671987 0.00358364 5.74884e-07 2.24615e-06
72 84.9972 71.9963 0.00858664 0.0128855 -1.87076e-05 1.1754e-05
73 99.6583 89.1325 -0.00796726 0.000857858 -8.96254e-05 8.59356e-06
74 13.1799 5.56911 0.0041783 -0.0070249 1.24224e-06 2.96557e-06
75 66.6819 65.8017 -0.00834375 0.00899339 -3.29133e-06 5.59672e-06
76 51.1458 98.8572 0.0119373 -0.02372 -1.21016e-07 -6.18315e-07
77 20.7197 52.2443 -0.00620334 0.012825 1.03363e-06 1.46117e-06
78 53.4162 56.8581 -0.0123516 -0.00401897 -3.38099e-07 3.85702e-06
79 51.126 45.2361 -0.00140257 0.00222344 -7.72929e-08 3.93716e-06
80 24.7934 13.2951 0.00844572 -0.00602343 1.17534e-06 3.73208e-06
81 29.0103 3.9429 0.0173256 0.0275266 1.16223e-06 4.93952e-06
82 63.8131 94.3185 -0.0160702 0.0103002 -2.94322e-06 -9.51613e-08
83 84.8224 5.5041 0.0142289 0.0106899 -2.14231e-05 5.46366e-05
84 6.97056 41.5014 0.00454578 -0.00733142 9.99482e-07 1.21177e-06
85 37.3995 65.483 0.0010402 -0.00600142 8.37986e-07 1.86305e-06
86 26.2602 34.8156 -0.00883578 -0.00621859 9.89364e-07 2.4438e-06
87 47.6686 57.5157 -0.00920867 -0.0162041 2.14619e-07 3.11841e-06
88 93.4004 64.0892 -0.00116473 -0.018149 -3.07057e-05 2.11586e-05
89 24.5577 26.252 0.0086477 -0.00598458 1.08553e-06 2.86607e-06
90 46.4423 68.5342 -0.0029228 -0.00467172 3.4419e-07 2.33929e-06
91 48.0811 30.6556 -0.00789919 -0.0244135 1.80886e-07 5.47174e-06
92 38.4771 9.02847 -0.0122183 -0.0139772 8.69337e-07 6.3077e-06
93 79.0857 25.1222 0.00153891 0.00130613 -9.54448e-06 2.26956e-05
94 53.1937 73.8721 0.0159306 -0.00932454 -3.77292e-07 2.49716e-06
95 8.0558 16.7015 -0.00504445 0.00588247 1.17744e-06 2.15765e-06
96 53.2328 58.2441 -0.00646753 -0.0190175 -3.22899e-07 3.75812e-06
97 49.9904 92.3638 0.0139637 -0.0139305 2.1524e-08 1.80247e-07
98 13.1293 25.2026 0.00302899 0.000223292 1.13821e-06 2.11022e-06
99 95.7974 16.1398 -0.0135129 -0.00044043 -4.59433e-05 7.82778e-05
100 50.1711 93.8774 -0.0104966 -0.00602553 0 0
