Id x y vx vy fx fy

1 42.6169 23.9063 0.00651749 0.0156265 5.98673e-07 5.37062e-06
2 11.7674 69.1951 0.00536934 0.0149946 1.17818e-06 7.56675e-07
3 93.8123 62.238 0.0228299 -5.39365e-06 -2.92778e-05 2.14562e-05
4 13.5483 13.4336 0.0175636 0.00439861 1.2115e-06 2.64714e-06
5 90.3703 61.6315 0.00925122 -0.000311834 -2.20961e-05 1.79243e-05
6 16.2215 83.199 0.0105374 0.00674859 1.24899e-06 3.95338e-07
7 97.0368 54.57 0.000607986 0.0170967 -2.87796e-05 2.43671e-05
8 73.937 12.6803 -0.0106282 0.00781624 -7.33806e-06 2.53977e-05
9 23.6545 24.1337 -0.00277458 0.00294226 1.11465e-06 2.90928e-06
10 15.014 2.50828 0.00550983 0.0115486 1.254e-06 3.24019e-06
11 40.9548 31.1634 -0.00585759 0.015683 6.36824e-07 4.22351e-06
12 37.193 38.5801 0.00115395 -0.00785817 7.24564e-07 3.03428e-06
13 40.5542 46.0246 -0.000412872 0.0185062 5.73486e-07 2.78656e-06
14 83.8848 92.8668 0.00783454 0.00821275 -2.04536e-05 7.10052e-07
15 32.3291 18.6535 -0.000120595 -0.00349263 1.0255e-06 4.26951e-06
16 69.0341 58.7501 -0.00180889 0.0242312 -3.60339e-06 6.83423e-06
17 48.131 69.6806 -0.00164298 -0.00995657 2.25937e-07 2.3891e-06
18 7.16318 91.5956 0.0170931 -0.00327299 1.23167e-06 6.9239e-08
19 6.7949 60.5713 0.0258033 -0.00518874 1.10682e-06 8.48575e-07
20 35.7026 70.677 0.000298119 0.00173737 9.40661e-07 1.49112e-06
21 83.1164 73.1123 0.00332393 0.0147315 -1.58836e-05 1.01649e-05
22 50.5063 70.6604 -0.00572073 0.00246104 -7.87651e-09 2.52823e-06
23 9.67688 81.4262 -0.00311704 0.00331883 1.22622e-06 3.79146e-07
24 6.20284 34.2274 0.00297447 -0.00304487 1.05607e-06 1.42783e-06
25 36.1718 60.8644 -0.00329882 0.00278368 8.54079e-07 1.98605e-06
26 84.1715 1.66664 -0.00529528 -0.0192851 -2.04537e-05 5.59943e-05
27 74.3134 96.2952 0.0164665 0.0155743 -8.52004e-06 -8.08871e-07
28 2.55743 41.3982 -0.0118775 0.00193505 9.88234e-07 1.08636e-06
29 24.7645 48.5633 0.0138807 -0.0110715 9.65694e-07 1.71043e-06
30 31.6567 97.0674 0.0100295 -0.00771094 1.1306e-06 -1.83006e-07
31 0.639453 63.9518 0.00133679 -0.013067 1.09661e-06 6.62365e-07
32 69.5065 61.8537 0.0107254 0.0137844 -3.97885e-06 6.71197e-06
33 81.8864 80.3664 -0.018214 0.00448008 -1.58143e-05 6.86901e-06
34 9.43993 84.9279 -0.00899151 0.00794486 1.23449e-06 2.74047e-07
35 56.6572 42.3563 0.00169474 -0.0047211 -6.02926e-07 5.00579e-06
36 72.5182 87.4472 0.00195892 0.00658795 -7.08931e-06 2.11251e-06
37 59.668 74.3014 0.0130658 -0.015102 -1.48875e-06 3.18026e-06
38 72.3154 43.8268 -0.00490956 0.00395909 -3.56492e-06 8.17865e-06
39 9.37354 1.31795 0.00393341 0.00598306 1.23785e-06 2.79496e-06
40 7.73489 31.24 0.0114666 -0.00140888 1.08336e-06 1.59307e-06
41 80.2639 36.2767 -0.0123858 -5.24633e-05 -7.95349e-06 1.53979e-05
42 41.6491 86.9921 0.00184007 -0.00653004 7.46454e-07 5.9788e-07
43 80.2665 67.3715 -0.00401902 0.0152967 -1.12783e-05 1.00775e-05
44 59.8201 78.0339 -0.00819607 -0.000369567 -1.57133e-06 2.67746e-06
45 88.3199 54.9338 -0.00171303 -0.00124797 -1.56695e-05 1.61691e-05
46 65.6362 91.9876 -0.00644814 0.0100931 -3.52427e-06 4.73024e-07
